, City, State[c], 2018estimate, 2010Census, Change, 2016 land area, 2016 population density, Location,URL
1,New_York_City,NewYork," 8,398,748"," 8,175,133", +2.74%, 301.5 sq mi, 780.9 km2," 28,317/sq mi",https://en.wikipedia.org/wiki/New_York_City
2,Los_Angeles,California," 3,990,456"," 3,792,621", +5.22%, 468.7 sq mi," 1,213.9 km2"," 8,484/sq mi",https://en.wikipedia.org/wiki/Los_Angeles
3,Chicago,Illinois," 2,705,994"," 2,695,598", +0.39%, 227.3 sq mi, 588.7 km2," 11,900/sq mi",https://en.wikipedia.org/wiki/Chicago
4,Houston,Texas," 2,325,502"," 2,100,263", +10.72%, 637.5 sq mi," 1,651.1 km2"," 3,613/sq mi",https://en.wikipedia.org/wiki/Houston
5,Phoenix,Arizona," 1,660,272"," 1,445,632", +14.85%, 517.6 sq mi," 1,340.6 km2"," 3,120/sq mi",https://en.wikipedia.org/wiki/Phoenix
6,Philadelphia,Pennsylvania," 1,584,138"," 1,526,006", +3.81%, 134.2 sq mi, 347.6 km2," 11,683/sq mi",https://en.wikipedia.org/wiki/Philadelphia
7,San_Antonio,Texas," 1,532,233"," 1,327,407", +15.43%, 461.0 sq mi," 1,194.0 km2"," 3,238/sq mi",https://en.wikipedia.org/wiki/San_Antonio
8,San_Diego,California," 1,425,976"," 1,307,402", +9.07%, 325.2 sq mi, 842.3 km2," 4,325/sq mi",https://en.wikipedia.org/wiki/San_Diego
9,Dallas,Texas," 1,345,047"," 1,197,816", +12.29%, 340.9 sq mi, 882.9 km2," 3,866/sq mi",https://en.wikipedia.org/wiki/Dallas
10,San_Jose,California," 1,030,119"," 945,942", +8.90%, 177.5 sq mi, 459.7 km2," 5,777/sq mi",https://en.wikipedia.org/wiki/San_Jose
11,Austin,Texas," 964,254"," 790,390", +22.00%, 312.7 sq mi, 809.9 km2," 3,031/sq mi",https://en.wikipedia.org/wiki/Austin
